,CRSArrTime,DayOfWeek,DayofMonth,Dest,DestUTC,Distance,FlightDate,FltTime,Marketing_Airline_Network,Month,OrgUTC,Origin,Quarter,Tail_Number,TaxiIn,TaxiOut,WheelsOff,WheelsOn,Year,fltID,dtyRepTmUTC,dtyRelTmUTC
39,2047.0,5.0,28.0,GSO,2020-02-29 00:08:00+00:00,461.0,2020-02-28,0 days 01:26:00,DL,2.0,2020-02-28 22:42:00+00:00,LGA,1.0,N268SY,3.0,10.0,1852.0,2005.0,2020.0,37357.0,2020-02-28 21:55:00+00:00,2020-02-29 00:53:00+00:00
40,2137.0,5.0,28.0,OMA,2020-02-29 02:30:00+00:00,1148.0,2020-02-28,0 days 03:45:00,DL,2.0,2020-02-28 22:45:00+00:00,LGA,1.0,N270SY,5.0,19.0,1904.0,2125.0,2020.0,37329.0,2020-02-28 22:00:00+00:00,2020-02-29 05:31:00+00:00
41,2042.0,5.0,28.0,ANC,2020-02-29 04:46:00+00:00,2519.0,2020-02-28,0 days 05:59:00,DL,2.0,2020-02-28 22:47:00+00:00,MSP,1.0,N900PC,4.0,11.0,1758.0,2042.0,2020.0,88528.0,2020-02-28 22:00:00+00:00,2020-02-29 05:31:00+00:00
42,2039.0,5.0,28.0,ORF,2020-02-29 00:08:00+00:00,296.0,2020-02-28,0 days 01:17:00,DL,2.0,2020-02-28 22:51:00+00:00,LGA,1.0,N835AY,4.0,20.0,1911.0,2004.0,2020.0,10657.0,2020-02-28 22:06:00+00:00,2020-02-29 02:23:00+00:00
43,2120.0,5.0,28.0,MEM,2020-02-29 01:38:00+00:00,963.0,2020-02-28,0 days 02:45:00,DL,2.0,2020-02-28 22:53:00+00:00,LGA,1.0,N882RW,7.0,21.0,1914.0,2031.0,2020.0,133265.0,2020-02-28 22:06:00+00:00,2020-02-29 02:23:00+00:00
44,2123.0,5.0,28.0,SAT,2020-02-29 01:33:00+00:00,1097.0,2020-02-28,0 days 02:38:00,DL,2.0,2020-02-28 22:55:00+00:00,MSP,1.0,N251SY,4.0,17.0,1812.0,2029.0,2020.0,37229.0,2020-02-28 22:10:00+00:00,2020-02-29 02:15:00+00:00
45,2112.0,5.0,28.0,STL,2020-02-29 01:30:00+00:00,888.0,2020-02-28,0 days 02:32:00,DL,2.0,2020-02-28 22:58:00+00:00,LGA,1.0,N325PQ,4.0,20.0,1918.0,2026.0,2020.0,7893.0,2020-02-28 22:10:00+00:00,2020-02-29 02:15:00+00:00
46,2147.0,5.0,28.0,SDF,2020-02-29 01:19:00+00:00,659.0,2020-02-28,0 days 02:20:00,DL,2.0,2020-02-28 22:59:00+00:00,LGA,1.0,N244JQ,9.0,18.0,1917.0,2110.0,2020.0,133204.0,2020-02-28 22:14:00+00:00,2020-02-29 02:13:00+00:00
47,2113.0,5.0,28.0,BNA,2020-02-29 01:28:00+00:00,764.0,2020-02-28,0 days 02:18:00,DL,2.0,2020-02-28 23:10:00+00:00,LGA,1.0,N269SY,11.0,16.0,1926.0,2017.0,2020.0,36891.0,2020-02-28 22:14:00+00:00,2020-02-29 02:13:00+00:00
48,2030.0,5.0,28.0,SMF,2020-02-29 03:01:00+00:00,1517.0,2020-02-28,0 days 03:50:00,DL,2.0,2020-02-28 23:11:00+00:00,MSP,1.0,N909DN,3.0,19.0,1830.0,1958.0,2020.0,88828.0,2020-02-28 22:26:00+00:00,2020-02-29 03:47:00+00:00
